city,name,category,description,rating
Hà Nội,Hồ Gươm,văn hóa,Hồ nước giữa lòng thủ đô gắn với truyền thuyết Rùa Vàng có Tháp Rùa và đền Ngọc Sơn,4.7
Hà Nội,Phố cổ Hà Nội,văn hóa,Khu phố cổ 36 phố phường với kiến trúc lâu đời buôn bán sầm uất,4.6
Hà Nội,Văn Miếu - Quốc Tử Giám,văn hóa,Trường đại học đầu tiên của Việt Nam kiến trúc cổ kính,4.5
Hà Nội,Bún chả Hàng Mành,ẩm thực,Quán bún chả gia truyền nổi tiếng giữa phố cổ,4.5
Hà Nội,Chả cá Lã Vọng,ẩm thực,Món chả cá trứ danh thương hiệu trăm năm của Hà Nội,4.4
Hà Nội,Công viên Thống Nhất,thiên nhiên,Công viên lớn giữa lòng thành phố phù hợp dạo bộ đạp vịt,4.2
Hà Nội,Phố đi bộ Hồ Gươm,giải trí,Không gian đi bộ cuối tuần quanh hồ nhiều hoạt động văn hóa đường phố,4.3
Đà Nẵng,Cầu Rồng,giải trí,Cây cầu phun lửa phun nước vào cuối tuần biểu tượng của thành phố,4.6
Đà Nẵng,Bà Nà Hills,giải trí,Khu du lịch trên núi với Cầu Vàng nổi tiếng,4.7
Đà Nẵng,Bãi biển Mỹ Khê,thiên nhiên,Một trong những bãi biển đẹp nhất hành tinh theo Forbes,4.6
Đà Nẵng,Mì Quảng Bà Mua,ẩm thực,Quán mì Quảng lâu đời được người địa phương yêu thích,4.4
Đà Nẵng,Bánh tráng cuốn thịt heo,ẩm thực,Món đặc sản Đà Nẵng cuốn bánh tráng với thịt heo và rau sống,4.5
Hồ Chí Minh,Chợ Bến Thành,văn hóa,Biểu tượng của Sài Gòn chợ truyền thống sầm uất,4.3
Hồ Chí Minh,Dinh Độc Lập,văn hóa,Di tích lịch sử quan trọng kiến trúc thời Pháp thuộc,4.5
Hồ Chí Minh,Phố đi bộ Nguyễn Huệ,giải trí,Không gian đi bộ trung tâm thành phố nhiều sự kiện,4.4
Hồ Chí Minh,Bánh xèo 46A,ẩm thực,Quán bánh xèo nổi tiếng lâu năm,4.3
Hồ Chí Minh,Cơm tấm Ba Ghiền,ẩm thực,Quán cơm tấm trứ danh của Sài Gòn,4.5
Huế,Đại Nội Huế,văn hóa,Kinh thành cổ di sản văn hóa thế giới UNESCO,4.6
Huế,Chùa Thiên Mụ,văn hóa,Ngôi chùa cổ bên dòng sông Hương biểu tượng của Huế,4.6
Huế,Bún bò Huế,ẩm thực,Món ăn đặc trưng cay nồng đậm đà của xứ Huế,4.5
Huế,Sông Hương,thiên nhiên,Dòng sông thơ mộng chảy qua lòng thành phố Huế,4.4
Hội An,Phố cổ Hội An,văn hóa,Đô thị cổ với đèn lồng rực rỡ di sản văn hóa thế giới UNESCO,4.8
Hội An,Chùa Cầu,văn hóa,Biểu tượng kiến trúc độc đáo của Hội An,4.6
Hội An,Cao lầu,ẩm thực,Món mì đặc sản chỉ có ở Hội An,4.5
Hội An,Rừng dừa Bảy Mẫu,thiên nhiên,Đi thuyền thúng giữa rừng dừa nước trải nghiệm dân dã,4.4
Sa Pa,Đỉnh Fansipan,thiên nhiên,Nóc nhà Đông Dương có thể đi cáp treo lên đỉnh,4.7
Sa Pa,Bản Cát Cát,văn hóa,Bản làng dân tộc H'Mông với ruộng bậc thang,4.5
Sa Pa,Thắng cố,ẩm thực,Món ăn truyền thống của người vùng cao Tây Bắc,4.1
Sa Pa,Ruộng bậc thang Mường Hoa,thiên nhiên,Cảnh quan ruộng bậc thang tuyệt đẹp đặc biệt mùa lúa chín,4.6
